"Step","AC_UTD5 - eval/episode_success","AC_UTD5 - eval/episode_success__MIN","AC_UTD5 - eval/episode_success__MAX"
"2000","0.06","0.06","0.06"
"4000","0.1","0.1","0.1"
"6000","0.22","0.22","0.22"
"8000","0.2","0.2","0.2"
"10000","0.2","0.2","0.2"
"12000","0.18","0.18","0.18"
"14000","0.18","0.18","0.18"
"16000","0.22","0.22","0.22"
"18000","0.52","0.52","0.52"
"20000","0.76","0.76","0.76"
"22000","0.56","0.56","0.56"
"24000","0.74","0.74","0.74"
"26000","0.58","0.58","0.58"
"28000","0.6","0.6","0.6"
"30000","0.8","0.8","0.8"
"32000","0.84","0.84","0.84"
"34000","0.82","0.82","0.82"
"36000","0.8","0.8","0.8"
"38000","0.86","0.86","0.86"
"40000","0.88","0.88","0.88"
"42000","0.8","0.8","0.8"
"44000","1","1","1"
